단계,종류,형식(보기:선택지),문제,보기,선택지1,선택지2,선택지3,선택지4,정답
1,어휘력,,문장에서 어울리는 단어를 고르시오.,그는 자신의 잘못을 (시인 / 자인)했다.,시인,자인,,,시인
1,어휘력,,문장에서 어울리는 단어를 고르시오.,서류 (결재 / 결제) 부탁드립니다.,결재,결제,,,결재
1,어휘력,,문장에서 어울리는 단어를 고르시오.,그는 자기 (개발 / 계발)을 위해 꾸준히 노력한다.,개발,계발,,,계발
1,어휘력,,문장에서 어울리는 단어를 고르시오.,이 지역은 신도시 (개발 / 계발)이 한창이다.,개발,계발,,,개발
1,어휘력,,문장에서 어울리는 단어를 고르시오.,물가가 가파르게 (인상 / 인하)되어 서민들의 부담이 커졌다.,인상,인하,,,인상
1,어휘력,,문장에서 어울리는 단어를 고르시오.,범인은 증거를 (은닉 / 은폐)하려 시도했다.,은닉,은폐,,,은폐
1,어휘력,,문장에서 어울리는 단어를 고르시오.,두 사람의 의견이 정면으로 (상충 / 상쇄)된다.,상충,상쇄,,,상충
1,어휘력,,문장에서 어울리는 단어를 고르시오.,그의 공로가 잘못을 (상충 / 상쇄)하기에는 부족하다.,상충,상쇄,,,상쇄
1,어휘력,,문장에서 어울리는 단어를 고르시오.,회사의 경쟁력을 (재고 / 제고)할 필요가 있다.,재고,제고,,,제고
1,어휘력,,문장에서 어울리는 단어를 고르시오.,창고 (재고 / 제고)를 파악해 주세요.,재고,제고,,,재고
1,어휘력,,문장에서 어울리는 단어를 고르시오.,갑작스러운 비보에 (황당하게 / 황망하게) 길을 떠났다.,황당하게,황망하게,,,황망하게
1,어휘력,,문장에서 어울리는 단어를 고르시오.,그는 (황당한 / 황망한) 표정으로 나를 바라보았다.,화당한,황망한,,,황당한
1,어휘력,,문장에서 어울리는 단어를 고르시오.,(반드시 / 반듯이) 약속을 지키겠습니다.,반드시,반듯이,,,반드시
1,어휘력,뜻:단어,보기에 나오는 뜻에 가장 가까운 단어를 고르시오.,기업이나 기관에서 업무와 관련된 뜻을 전달하기 위해 주고받는 글,공문,서한,통지서,편지,1
1,어휘력,뜻:단어,보기에 나오는 뜻에 가장 가까운 단어를 고르시오.,책이나 논문 등을 지어 씀,저술,출판,독서,편집,1
1,어휘력,뜻:단어,보기에 나오는 뜻에 가장 가까운 단어를 고르시오.,어떤 일이나 현상이 일어나는 까닭이나 근거,결과,동기,원인,근본,3
1,어휘력,뜻:단어,보기에 나오는 뜻에 가장 가까운 단어를 고르시오.,상황이나 내용이 펼쳐져 나가는 것,전개,결말,서론,도입,1
1,어휘력,뜻:단어,보기에 나오는 뜻에 가장 가까운 단어를 고르시오.,사람의 마음이나 생각을 꿰뚫어 알아차림,직관,통찰,이해,감지,2
1,어휘력,단어:뜻,다음 단어의 의미하는 것으로 가장 적절한 것을 고르시오.,경신하다,종전의 기록을 깨뜨리다.,새로운 법률이나 제도를 만들다.,기존의 방식을 따르다.,오래된 것을 유지하다.,1
1,어휘력,단어:뜻,다음 단어의 의미하는 것으로 가장 적절한 것을 고르시오.,철석같이,절대적으로 확실한,흔들림 없이 확실하게,정직하여 신뢰할 만하게,물리적으로 단단하게,2
1,어휘력,단어:뜻,다음 단어의 의미하는 것으로 가장 적절한 것을 고르시오.,금일,이번달,어제,오늘,최근,3
1,어휘력,단어:뜻,다음 단어의 의미하는 것으로 가장 적절한 것을 고르시오.,수긍하다,어쩔 수 없이 받아들이다,이해하고 그렇다고 인정하다,마지못해 허락하다,무조건 동의하다,2
1,어휘력,단어:뜻,다음 단어의 의미하는 것으로 가장 적절한 것을 고르시오.,개편하다,너무 편하다.,잘못된 것을 바로잡다,점차적으로 변화하다,기존의 내용이나 체계를 고쳐 새롭게 바꾸다.,4
1,어휘력,문장:뜻,다음 중 작은따옴표로 묶인 단어의 뜻을 고르시오.,가을이 되자 나뭇잎이 '시나브로' 물들었다.,매우 빠른 속도로,전혀 다른 모양으로,겉으로 보기에,모르는 사이에 조금씩 조금씩,4
1,어휘력,문장:뜻,다음 중 작은따옴표로 묶인 단어의 뜻을 고르시오.,택배 도착 시간이 '요원'하다.,시간이 곧 다가옴,어떤 조직에 꼭 필요한 사람,시간이나 거리가 까마득함.,아직 정해지지 않음,3
1,어휘력,문장:뜻,다음 중 작은따옴표로 묶인 단어의 뜻을 고르시오.,가을비가 내리자 날씨가 '을씨년스러워졌다'.,하는 일이 마음먹은 대로 된다.,몸이 아파 기운이 없다.,날씨가 매우 화창하다.,보기에 스산하고 쓸쓸한 데가 있다.,4
1,어휘력,문장:뜻,다음 중 작은따옴표로 묶인 단어의 뜻을 고르시오.,'심심한' 사과를 드립니다.,지루하고 재미없다.,답답하고 괴롭다.,마음이 무겁고 죄송하다.,마음이 상쾌하고 시원하다.,3
3,어휘력,문장:뜻,다음 중 작은따옴표로 묶인 단어의 뜻을 고르시오.,그는 '철면피' 같은 사람이다.,부끄러움을 모르는 사람,정직하고 성실한 사람,용감하고 대담한 사람,게으르고 느린 사람,1
1,맞춤법,,다음 중 맞춤법이 올바른 것을 고르시오.,,나중에 뵈요.,나중에 봬요.,,,2
1,맞춤법,,다음 중 맞춤법이 올바른 것을 고르시오.,,오랫만에 만나요.,오랜만에 만나요.,,,2
1,맞춤법,,다음 중 맞춤법이 올바른 것을 고르시오.,,어따 대고 화를 내니?,엇다 대고 화를 내니?,,,1
1,맞춤법,,다음 중 맞춤법이 올바른 것을 고르시오.,,출산율이 감소했다.,출산률이 감소했다.,,,2
1,맞춤법,,다음 중 맞춤법이 올바른 것을 고르시오.,,시청률이 높다.,시청율이 높다.,,,1
2,어휘력,뜻:단어,보기에 나오는 뜻에 가장 가까운 단어를 고르시오.,흩어지기 이전에 본래 난 곳,경유지,유적지,원생,호적,3
2,어휘력,뜻:단어,보기에 나오는 뜻에 가장 가까운 단어를 고르시오.,범죄를 저질렀을 가능성이 있다고 의심받는 사람,용의자,피의자,피해자,증인,1
2,어휘력,뜻:단어,보기에 나오는 뜻에 가장 가까운 단어를 고르시오.,이치와 원리를 알아내는 능력,Ethos,행운,Pathos,이성,4
2,어휘력,뜻:단어,보기에 나오는 뜻에 가장 가까운 단어를 고르시오.,사람들이 모여 사는 일정한 구역,구획,지구,지역,격자,2
2,어휘력,뜻:단어,보기에 나오는 뜻에 가장 가까운 단어를 고르시오.,모여서 한곳으로 좁혀진다,수렴,분산,접근,발산,1
2,어휘력,뜻:단어,보기에 나오는 뜻에 가장 가까운 단어를 고르시오.,6일,엿새,여드레,이레,삼명일,1
2,어휘력,단어:뜻,다음 단어의 의미하는 것으로 가장 적절한 것을 고르시오.,가장 중요하고 중심이 되는 사실이나 관점,용언,요약,골자,요언,3
2,어휘력,단어:뜻,다음 단어의 의미하는 것으로 가장 적절한 것을 고르시오.,각광,사람들의 주목과 관심을 받음,빛이 사방으로 퍼짐,빛이 반사되어 눈부심,빛이 어둠 속에서 희미하게 빛남,1
2,어휘력,단어:뜻,다음 단어의 의미하는 것으로 가장 적절한 것을 고르시오.,오금,팔꿈치의 바깥쪽,무릎 뒤쪽의 오목하게 들어간 부분,발목의 안쪽 부분,손목의 관절 부분,2
2,어휘력,단어:뜻,다음 단어의 의미하는 것으로 가장 적절한 것을 고르시오.,우천 시,비가 올 경우에,경기도 우천시,필요한 경우에,강우량이 많을 때에,1
2,어휘력,단어:뜻,다음 단어의 의미하는 것으로 가장 적절한 것을 고르시오.,엄습하다,위험이나 불안 따위가 갑자기 덮쳐오다.,어떤 장소에 천천히 스며들다.,사람들이 모여들다.,어떤 기운이 사방으로 퍼지다.,1
2,어휘력,문장:뜻,다음 중 작은따옴표로 묶인 단어의 뜻을 고르시오.,위원회는 제안된 안건을 '기각'하기로 결정했다.,제안된 안건을 받아들이다.,제안된 안건을 거부하다.,제안된 안건을 수정하다.,제안된 안건을 재논의하다.,2
2,어휘력,문장:뜻,다음 중 작은따옴표로 묶인 단어의 뜻을 고르시오.,그는 '시장'한 줄도 모르고 일을 했다.,배가 고픔,물건이나 식품을 사는 장소,손님이 옴,지방자치단체의 행정책임자,1
2,어휘력,문장:뜻,다음 중 작은따옴표로 묶인 단어의 뜻을 고르시오.,기차표는 모바일 티켓으로 '갈음'합니다.,사물이나 사람을 판가름하다.,다른 것으로 바꾸어 대신하다.,일을 마무리하다.,헤아려 짐작하다.,2
2,어휘력,문장:뜻,다음 중 작은따옴표로 묶인 단어의 뜻을 고르시오.,정부는 개발도상국에 '차관'을 제공하기로 했다.,돈을 빌려주고 나중에 이자를 받는 것,조약을 맺는 것,차관(次官) 직책을 임명하는 것,물건이나 기술을 무상으로 지원하는 것,1
2,어휘력,문장:뜻,다음 중 작은따옴표로 묶인 단어의 뜻을 고르시오.,그는 '철두철미'한 계획을 세워 일을 추진했다.,겉과 속이 다르다.,매우 급하고 다급하다.,아주 간단하고 쉬운 일이다.,처음부터 끝까지 빈틈이 없다.,4
2,맞춤법,,다음 중 맞춤법이 올바른 것을 고르시오.,,세상에는 별의별 사람이 있다.,세상에는 별에별 사람이 있다.,,,1
2,맞춤법,,다음 중 맞춤법이 올바른 것을 고르시오.,,그의 손에 돈을 쥐어 주었다.,그의 손에 돈을 쥐여 주었다.,,,2
2,맞춤법,,다음 중 맞춤법이 올바른 것을 고르시오.,,결국 사달이 났다.,결국 사단이 났다.,,,1
2,맞춤법,,다음 중 맞춤법이 올바른 것을 고르시오.,,네 동생 애교깨나 부릴 것 같아.,네 동생 애교꽤나 부릴 것 같아.,,,1
2,맞춤법,,다음 중 맞춤법이 올바른 것을 고르시오.,,너는 깜빡하는 게 옥의 티야.,너는 깜빡하는 게 옥에 티야,,,2
2,맞춤법,,다음 중 맞춤법이 올바른 것을 고르시오.,,희안하다.,희환하다.,,,2
2,어휘력,뜻:단어,보기에 나오는 뜻에 가장 가까운 단어를 고르시오.,3일 뒤를 이르는 말,그글피,모레,나흘,글피,4
2,어휘력,뜻:단어,보기에 나오는 뜻에 가장 가까운 단어를 고르시오.,어떤 곡선 또는 면에 수직으로 접하는 선,주축,법선,사선,교선,2
2,어휘력,뜻:단어,보기에 나오는 뜻에 가장 가까운 단어를 고르시오.,고인의 관을 운구하기 전에 거행하는 의식,장례식,영결식,제례,발인식,4
2,어휘력,뜻:단어,보기에 나오는 뜻에 가장 가까운 단어를 고르시오.,의견이나 생각을 내놓다.,주해하다.,제언하다.,종용하다.,제도하다.,2
2,어휘력,뜻:단어,보기에 나오는 뜻에 가장 가까운 단어를 고르시오.,언행이 씩씩하다.,거쿨지다.,문존하다.,숙부드럽다.,의초롭다.,1
3,어휘력,단어:뜻,다음 단어의 의미하는 것으로 가장 적절한 것을 고르시오.,갈음하다.,일을 마무리하다.,사물을 판가름하다.,다른 것으로 바꾸어 대신하다.,헤아려 짐작하다.,3
3,어휘력,단어:뜻,다음 단어의 의미하는 것으로 가장 적절한 것을 고르시오.,제반업무,모든 일이나 사항,특정 사항과 관련된 업무,행정적인 업무,가장 중요한 업무,1
